ident_cely_komponenty;ident_cely_akce;pian;obdobi;areal;x;y
M-9103864A-K003;M-9103864A;P-2441-100570;doba laténská;sídliště;49.203342;16.885605
M-9103848A-K001;M-9103848A;P-2434-101312;doba laténská;sídliště;49.063435;16.554462
M-9103759A-K003;M-9103759A;P-2424-100932;střední doba laténská (LtB–C1);sídliště;49.42906;17.074615
M-9103687A-K002;M-9103687A;P-1443-100359;doba laténská;sídliště;49.82487;16.903776
M-9103670A-K006;M-9103670A;P-2444-100155;doba laténská;sídliště;49.14948;17.123861
M-9103670A-K007;M-9103670A;P-2444-100155;doba laténská;pohřebiště/hřbitov;49.14948;17.123861
M-9103643A-K001;M-9103643A;P-3422-100062;pozdní doba laténská (LtD);sídliště;48.91675;17.121101
M-9103608A-K003;M-9103608A;P-2434-100967;doba laténská;sídliště;49.161743;16.620792
M-9103575A-K004;M-9103575A;P-3414-100067;doba laténská;ojedinělý nález;48.82733;16.465286
M-9103495A-K003;M-9103495A;P-1443-100265;doba laténská;sídliště;49.783405;16.947636
M-9103554A-K006;M-9103554A;P-2424-100541;střední doba laténská (LtB–C1);pohřebiště/hřbitov;49.466816;17.150036
M-9103427A-K005;M-9103427A;P-3511-100334;doba laténská;sídliště;49.01664;17.351088
M-9103423A-K001;M-9103423A;P-2424-100958;střední doba laténská (LtB–C1);sídliště;49.468723;17.093943
M-9103336A-K002;M-9103336A;P-3423-100260;doba laténská;sídliště;48.74888;16.75114
M-9103315A-K002;M-9103315A;P-2441-100888;střední doba laténská (LtB–C1);sídliště;49.271194;16.994373
M-9103275A-K002;M-9103275A;P-2441-100048;doba laténská;sídliště;49.23184;16.87464
M-9103217A-K001;M-9103217A;P-2443-100579;střední doba laténská (LtB–C1);pohřebiště/hřbitov;49.12412;16.832952
M-9103215A-K014;M-9103215A;P-2531-101096;střední doba laténská (LtB–C1);pohřební areál;49.32736;17.45308
M-9103215A-K015;M-9103215A;P-2531-101096;střední doba laténská (LtB–C1);sídliště;49.32736;17.45308
M-9103168A-K007;M-9103168A;P-2424-100538;doba laténská;sídliště;49.468346;17.150309
M-9103167A-K004;M-9103167A;P-2424-100539;doba laténská;sídliště;49.466644;17.14891
M-9103013A-K005;M-9103013A;P-2422-100422;doba laténská;sídliště;49.53896;17.161179
M-9103166A-K002;M-9103166A;P-2432-100092;doba laténská;sídliště;49.226562;16.596584
M-9103009A-K004;M-9103009A;P-2422-100420;doba laténská;sídliště;49.53968;17.155901
M-9102978A-K004;M-9102978A;P-3511-100333;doba laténská;sídliště;49.01671;17.35166
